Company,Local_Weight
A,1807
A,3229
A,2230
A,8162
A,6847
A,1317
A,9740
A,8542
B,728.63
B,1108.511
B,589.795
B,1047.71
B,1190.49
B,900
B,1797.08
B,1638.48
C,1687.38
C,1987.97
C,880.98
C,1938.93
C,2382.76
C,1100
C,2436.14
C,2191.43
D,901
D,1495
D,877
D,1700
D,1900
D,1051
D,1811
D,2078.2
E,1278.76
E,2086.33
E,1061.39
E,2023.51
E,2341.39
E,1050
E,2693.88
E,2542.19
F,250
F,300
F,200
F,350
F,450
F,900
F,400
F,400
G,3510
G,2700
G,1900
G,1513
G,1991
G,1135
G,2213
G,2003
H,3340
H,2048
H,3596
H,3630
H,1100
I,1716
I,3800
I,2500
I,5230
I,1620
I,1060
I,5830
I,5620
J,1675.32
J,3604.907
J,1611.195
J,3200
J,2961
J,1035.5
J,3903
J,3820
K,2449
K,1328
L,3745
L,2827.2
L,2813.68
L,1110
L,2874.08
L,2242.01
M,1973
M,2884
M,1326
M,2440
M,2900
M,1000
M,3100
M,3050
