Type,Quantity,Price
4707,65927.81,209.8061956
4707,66193.449,209.7287301
4707,59257.15,214.6877465
4707,57707.35,204.5889129
4707,73406.274,209.059024
4707,73296.216,212.295939
4707,68852.814,223.130096
4707,64581.341,237.9504476
4707,76470.798,231.2712364
4707,67046.075,204.7513445
4707,65865.518,213.7278872
4707,55635.773,218.3004449
4707,71931.227,204.3829309
4707,42761.302,203.1302274
4707,66200.529,188.2036622
4707,57159.398,186.1602531
4707,62234.013,206.9200326
4707,47901.783,240.8771715
4707,9471.362,183.5984096
4707,37548.4,245.953223
4707,49886.055,258.8992455
4707,82169.157,277.2281575
4707,47067.382,296.4606572
4707,61176.506,315.0211292
4707,33161.918,229.8393597
4707,62017.93,197.8902069
4707,44631.788,179.5387852
4707,44452.89,173.8973327
4707,40493.11,181.90181
4707,32820.55,193.0215368
4707,45918.03,170.8439582
4707,44520.618,154.4791449
4707,36223.28,157.2543403
4707,50160.608,152.9491628
4707,47323.2,139.3075278
4707,55524.04,140.6068615
4707,33906.27,149.347569
4707,31363.04,153.4088532
4707,30680.39,136.3643357
4707,51822.42,154.9173697
4707,37772.72,175.949733
4707,39226.72,199.7103505
4707,29970.45,199.8379404
4707,53271.63,195.966033
4707,32993.32,202.4225813
4707,30373.82,204.7861942
4707,29745.94,211.2265069
4707,48607.5,217.3380034
470710,33864.795,205.5927697
470710,41319.678,206.0246694
470710,36405.93,210.1587296
470710,26044.16,191.1207733
470710,34917.673,208.033737
470710,37011.4,213.0175297
470710,34209.659,223.2139467
470710,38544.56,247.0230559
470710,27904.16,237.9630134
470710,45191.897,196.0829394
470710,42945.73,211.7197915
470710,34399.654,211.5137553
470710,34172.131,196.2590217
470710,27585.49,192.3807045
470710,43911.845,169.1218167
470710,34312.855,162.5764455
470710,33368.3,183.8556055
470710,25555.09,234.4138487
470710,4638.45,178.4936778
470710,19960.8,239.9480983
470710,30475.7,252.7441207
470710,48043.1,279.0428178
470710,29717.9,303.805215
470710,35642.36,321.1223948
470710,14351.61,189.7529267
470710,39708.77,173.04948
470710,28614.09,150.2462947
470710,27024.55,141.7662089
470710,20737.85,141.1160752
470710,14629.57,147.7667491
470710,28077.63,138.5907927
470710,28711.52,130.5332842
470710,17510.94,125.7500168
470710,26280.8,135.1994232
470710,32192.02,126.9482002
470710,29543.17,117.7897294
470710,24611.7,143.341297
470710,17561.5,135.2987501
470710,18240.4,114.0308327
470710,33909.2,144.2671016
470710,27200.31,173.3340171
470710,25733.63,203.1695878
470710,18584.99,202.9924687
470710,36100.5,198.9919253
470710,20142.4,206.490736
470710,19277.8,207.3610059
470710,20195.2,213.0680063
470710,32431.3,215.4541754
470720,3736.029,256.306094
470720,4832.12,226.5299703
470720,5199.56,227.9994846
470720,3992.49,233.5494892
470720,4595.995,221.0433214
470720,3481.43,226.8283435
470720,3655.622,225.1359687
470720,2632.1,226.3819764
470720,2055.91,233.0938611
470720,3203.73,243.9431538
470720,3507.367,229.8020139
470720,3407.513,237.7977722
470720,5243.976,238.140678
470720,5162.55,239.1411221
470720,7951.82,246.2379682
470720,5824.513,242.9344737
470720,9217.294,251.7963515
470720,6885.101,259.9168843
470720,669.051,225.778005
470720,5433.51,262.4758213
470720,4862.95,279.0744301
470720,11069.567,273.2838602
470720,5650.212,282.9201807
470720,8598.276,303.2263677
470720,3187.068,273.390778
470720,7248.24,244.0862885
470720,4457.168,239.476726
470720,7729.76,228.3693155
470720,7532.89,217.706219
470720,6992.6,226.5063067
470720,6580.76,211.1959713
470720,6943.388,197.8091963
470720,7239.06,188.8981442
470720,9345.62,173.8213195
470720,6085.36,163.2417803
470720,9641.24,166.703868
470720,4250.17,157.2551216
470720,7204.84,177.9582892
470720,6809.04,167.4300636
470720,7322.33,177.6048061
470720,4436.76,185.1405079
470720,6607.97,194.0194946
470720,5672.46,195.7801377
470720,8029.81,184.8355067
470720,6748.92,195.4444563
470720,4692.47,199.8209898
470720,5019.33,207.6322936
470720,8036.13,228.8843013
470730,13044.816,210.0730282
470730,15807.671,215.3189423
470730,16729.59,220.0994764
470730,12381.4,211.5267256
470730,17999.666,217.7585962
470730,17349.876,222.67992
470730,21242.163,226.0396458
470730,18093.013,220.7275814
470730,15819.315,225.0868005
470730,13337.292,217.7388033
470730,16122.861,216.2173326
470730,16143.865,225.9711042
470730,9190,218.667247
470730,9413.262,213.8969467
470730,13071.427,211.3979598
470730,8561.75,214.1642772
470730,14114.995,227.6379836
470730,14820.93,242.0080251
470730,3485.982,183.5735239
470730,11762.46,247.4606502
470730,13692.2,267.0727129
470730,22155.79,275.2259793
470730,10742.85,285.2725301
470730,15956.5,310.1682073
470730,14442.9,256.1989628
470730,14275.67,240.0642492
470730,10430.29,224.0976042
470730,9602.88,219.275155
470730,10400.6,224.404169
470730,10615.06,231.0695371
470730,9891.8,227.7714875
470730,8085.47,196.9737072
470730,10525.2,183.3105309
470730,13494.63,168.7814338
470730,8013.07,162.6848386
470730,15172.89,164.0293313
470730,4163.93,166.2477515
470730,5980.22,172.8285916
470730,4837.91,167.5824891
470730,9747,174.5078486
470730,5205.49,178.9812294
470730,5761.24,192.2882921
470730,5227.9,194.254672
470730,7617.07,194.7915668
470730,5618.71,197.2798027
470730,5445.85,203.025423
470730,3899.22,205.6739553
470730,6806.01,216.7402046
470790,15282.17,207.5474229
470790,4233.98,205.8311565
470790,922.07,220.253343
470790,15289.3,214.3501011
470790,15892.94,197.9931341
470790,15453.51,195.6355546
470790,9745.37,215.7413213
470790,5311.668,236.512523
470790,30691.413,228.2527689
470790,5313.156,222.2481327
470790,3289.56,210.6041537
470790,1684.741,243.9360115
470790,23325.12,203.067294
470790,600,218.5866667
470790,1265.437,246.0952224
470790,8460.28,214.3841575
470790,5533.424,218.4047346
470790,640.662,267.9119411
470790,677.879,177.0242182
470790,391.63,277.5119373
470790,855.205,232.6564976
470790,900.7,278.1603198
470790,956.42,273.9110433
470790,979.37,275.5955359
470790,1180.34,277.109138
470790,785.25,260.9169054
470790,1130.24,273.5560589
470790,95.7,294.2319749
470790,1821.77,255.4828546
470790,583.32,234.2196393
470790,1367.84,227.0865013
470790,780.24,209.6880447
470790,948.08,208.2545777
470790,1039.558,208.5145802
470790,1032.75,202.1496006
470790,1166.74,198.1135471
