Price,Weight
1284,8542
1247.04,900
1212,9740
1193,6847
1120,5620
1110,2874.08
1100,2436.14
1100,2693.88
1100,2078.2
1092,2003
1090,2242.01
1077,3820
1060,3050
1054,2213
1051,1811
1050,5830
1050,2191.43
1050,2542.19
1040,3100
1030,2813.68
1030,3903
1010,1900
1004,1991
1000,2341.39
1000,400
990,3630
950,2023.51
950,2382.76
933,8162
930,2900
920,1620
910,2961
900,1190.49
900,1797.08
900,400
900,1638.48
862,2230
800,450
763,877
758,1328
750,1938.93
730,2048
720,3596
710,2827.2
702,1611.195
700,3229
700,1900
700,1700
700,5230
690,3200
680,2440
670,1061.39
658,1513
650,1987.97
650,880.98
646,1807
632,1973
630,2700
630,1326
600,1687.38
600,300
600,200
600,2500
600,1047.71
590,3800
590,2884
587,1495
580,901
580,1675.32
580,3340
570,1716
570,2086.33
566,2449
560,1278.76
550,3510
540,3745
500,728.63
500,250
500,3604.907
500,350
450,1108.511
450,589.795
450,900
