Month,Quantity,Price,lnQuantity,lnPrice
17-Jan,63947.954,1606.947425,11.06582481,7.382091649
17-Feb,64155.712,1614.789966,11.06906841,7.386960175
17-Mar,57621.294,1657.130435,10.96164747,7.412842732
17-Apr,56778.983,1578.577059,10.94692152,7.364279125
17-May,60421.931,1640.66256,11.00910741,7.402855439
17-Jun,66399.879,1678.075347,11.10345051,7.425402789
17-Jul,62079.119,1750.105378,11.03616496,7.467431281
17-Aug,53696.654,1897.026954,10.89110597,7.548043179
17-Sep,67616.367,1829.971137,11.12160535,7.512055474
17-Oct,56133.166,1608.514296,10.93548211,7.383066235
17-Nov,58984.44,1676.594709,10.98502896,7.424520056
17-Dec,53265.589,1689.270722,10.88304579,7.432052189
18-Jan,66122.626,1605.713602,11.09926627,7.381323549
18-Feb,40220.964,1599.6633,10.60214363,7.377548449
18-Mar,62497.296,1452.350835,11.04287857,7.280938788
18-Apr,56133.097,1452.921794,10.93548088,7.281331838
18-May,59433.375,1604.956811,10.99261122,7.380852126
18-Jun,44194.462,1883.018737,10.69635477,7.540631479
18-Jul,69831.618,1849.46309,11.15384217,7.522650654
18-Aug,36551.665,1924.371981,10.50648202,7.56235495
18-Sep,47861.443,2002.885705,10.77606551,7.602344272
18-Oct,79855.695,2159.633073,11.28797647,7.677693613
18-Nov,45053.312,2321.183402,10.71560178,7.749832421
18-Dec,59280.262,2467.296788,10.99003168,7.810878412
19-Jan,29732.97,1781.154052,10.30001181,7.485016777
19-Feb,58173.464,1525.592494,10.97118458,7.330138134
19-Mar,41066.175,1363.579637,10.62294007,7.217868607
19-Apr,42254.474,1346.247974,10.65146552,7.205076723
19-May,36876.754,1390.469454,10.51533666,7.237396706
19-Jun,30495.962,1459.832617,10.32534956,7.286077062
19-Jul,43043.423,1285.701651,10.66996472,7.15905988
19-Aug,42292.982,1187.241893,10.65237644,7.079388159
19-Sep,33969.004,1201.477677,10.43320374,7.091307475
19-Oct,48009.557,1171.204308,10.77915537,7.065787822
19-Nov,45535.889,1077.348023,10.72625606,6.982257766
19-Dec,52792.515,1078.221032,10.8741247,6.983067769
20-Jan,32809.176,1148.276324,10.39846351,7.046017248
20-Feb,29354.135,1156.600254,10.2871887,7.053240165
20-Mar,29402.929,1039.794369,10.28884957,6.94677825
20-Apr,50427.673,1194.12609,10.82829537,7.085169892
20-May,34665.468,1365.393365,10.45349931,7.219197846
20-Jun,33290.022,1546.709702,10.41301299,7.343885181
20-Jul,29107.989,1553.972004,10.27876795,7.348569515
20-Aug,51476.461,1519.684891,10.84887991,7.326258283
20-Sep,31999.68,1569.640696,10.37348118,7.358602016
20-Oct,28876.831,1590.617752,10.27079486,7.371877743
20-Nov,28578.991,1636.761774,10.26042715,7.400475041
20-Dec,46908.353,1690.658378,10.75595104,7.432873305
21-Jan,38277.972,1851.692964,,
21-Feb,30416.43,1857.15544,,
21-Mar,55783.99,1862.913237,,
21-Apr,50879.63,1938.656534,,
21-May,37428.268,1971.966936,,
21-Jun,16790.175,1984.944308,,
21-Jul,645.55,1978.714721,,
